id,without_stt_accuracy_score,without_stt_empty_score,without_stt_prosody_score,without_stt_toatal_score,with_stt_accuracy_score,with_stt_empty_score,with_stt_prosody_score,with_stt_toatal_score,transcribed
el412_7,94.11626350256002,95.24,87.44210526315791,92.26612292190596,94.52145969498912,95.24,87.79117647058823,92.51754538852579,"Magic is all around us. Hi everyone, I'm Stella, and today, I want to tell you about my most favorite thing ever. Magic. Magic is like a 슬퍼 코치 that makes you go well. It's like when you see a rabbit up here at the same air, or when call for ribbons fly around like they're dancing. You know what's the best part? Magic is all around us. It's in the stars that shine so bright at night? In the rainboards after the rain and the beagles of my friends when we play together magic, those are hearts with joy and happiness like a warm hug from a unicorn. And guess what? We can do magic too! With our imagination, we can become brave wiz and create our own magical adventures. We can ride on the back of flying dragons and explore enchanted castles. So, let's believe in magic all around us. Let's see the world with wonder and let our imagination soar high like a magical kite. Let's make magic every day by being kind and spreading love like a sprinkle of magic. Let's make this world a magical place for everyone. Thank you for listening to my speech. I hope it makes you feel the magic in your heart too."
el281_8,83.63705069440364,95.61,76.8,85.34901689813455,65.35237493987493,95.61,73.57083333333333,78.17773609106942,"Hello everyone, my name is 주스앨렐라, English name Bella. Today, I'm going to tell you about my favorite things. First, I love the piano the most, speak and play, the white is angry, it's so beautiful and it's fun to learn how to play. second, I have an 아이스크림, it's always white and yellow and very clean. I have a fun mountain, it's quite lonely and jumpy, it is great exciting. Next, I have a wonderful drawing that I made. I draw many pictures of people like my teacher and cat. My 엄마는 좋아해, because they are black and many colors. Last, I have an interesting English book. It's called a magic tree house. It's about a boy and his sister who go back in time. This book helps me to learn about history and English. I really want to show you about my favorite day, thank you for listening to my speech."
el655_8,86.89548303004187,81.89,83.55882352941177,84.1147688531512,77.0521576674836,81.89,83.625,80.85571922249453,"Good afternoon everyone, my name is Tomy. Today, I want to talk about someone who inspires me a lot, Elon Musk. Have you ever dreamt of living on another planet riding in a car that drives itself? Well, Elon Musk is making those dreams come true. Elon Musk was born in South Africa and from a young age, he showed a passion for technology. He even taught himself to cook when he was just 12 years old. One of his biggest achievements was with 테슬라, a company that made electric cars popular and helped to use pollution. 테슬라 also found new sales driving technology. In addition to 테슬라, Elon must also achieve great success with SpaceX, which made space travel cheaper by inventing the first three useable rockets. Thanks to spacex, humans might one day live on Mars. however, what truly stands out about Musk is its determination. It failed 10,000 times but never gave up. It showed its hard work and still believes, even the widest dreams can come true. Elon Musk inspired me to dream it, take rest and never give up. I hope we all find the courage to pursue our dreams. I make a difference in the world. Thank you."
el477_7,85.10175418583724,86.42,80.8235294117647,84.11509453253397,73.7916157916158,86.42,74.01153846153846,78.07438475105143,"My name is Jin. Today, I want to talk about my service for soccer. soccer is fun for playing with a round ball on a big field. Two teams try to score goals by kicking the ball into the other team's net. I love soccer because it's fun and exciting. I play soccer with my friends during recess. Playing soccer with my friend is always fun and we get to work together as a team. I love the 팀워 and 스트레러지 involved in the 게임. Playing soccer in my team has taught me how to go perfect and sport well. soccer is not just about winning, it's about having fun and working together. My favorite part of soccer is making a great pass or scoring a goal. Soccer is an exciting sport that keeps me moving and having fun. My favorite player is Nancy, and I want to be as good as him sometimes. I also enjoy watching soccer games on TV and cheering for my favorite team with my dad. soccer is a great way to make friends and enjoy the outdoors. And playing soccer has me staying strong and healthy. Thank you for listening."
el378_6,86.81740944240944,95.94,83.68333333333334,88.81358092524759,78.984375,95.94,72.95,82.62479166666667,"An exciting swimming pool experience with my dad. I went to the swimming pool with my dad. In the swimming pool, I thought the waves would make me go to the shore because they were so strong. I would the water slide too. When I looked the water slide, the water was cool. Playing in the water with my dad was such a precious time."
el491_9,86.60502860235003,90.05,78.63214285714285,85.09572381983095,66.13045634920634,90.05,80.48333333333333,78.88792989417989,"Everyone, today we're going to explore a cool country called Korea. The capital city of South Korea is Goseo. In Korea, people speak Korean and use an alphabet called 한글. Korea food is super tasty. One famous dish is 김치. It is spicy, spicy, and vegetable that Koreans eat a lot almost every day. Also, Korea has beautiful nature, including the mountains and pretty beaches. In Seoul, you can visit traditional old places like Gyeongbokgung. Koreans people are very friendly and love to share their culture. Speaking of culture, 태권도 is a martial art from Korea with amazing kick and 점프. Korea is a fantastic place with so many amazing things to eat and discover. I hope you get to visit Korea and get to know about it more and more. Thank you for listening. Bye."
el581_8,53.645,82.55,58.68,64.95833333333333,23.223045603487538,82.55,49.575,51.78268186782918,"Let me introduce one of the heros in Korean history. Jeneral, 이순신, 이순신 was a great jeneral who lived long and he's best to remember, always brave and smart. Strains heresies during the Japanese invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea during the invasion of Korea A marted shadow that made them hard to sing. 제이네나 리술신 was not only a brave fight, but also a nice leader who cared deeply about his country and his country. So that's him, 내 방에서, even when things were tough because of who he is, and he is still 2년 방, as a 4살 hero인 꼬리야 today."
el618_8,89.62205888653257,86.33,82.96333333333334,86.3051307399553,94.34721280762734,86.33,87.38076923076923,89.35266067946553,"For the 스피킹 contest, I'm going to talk about legos which is my favorite toy. When I was 5 years old, I saw my dad browsing the 레고 sites on the computer and got interested in 레고 right away. When I turned into 6 years old, I got my first LUE 레고 which I played with my little sister. But after playing with it 10 times, I lost them which made me unhappy. When I became 7 years old, the 레고랜 커리어 레젯 first opened.Since I was very interested in 레고, I visited there right away. In 레고랜, there are movie theaters and places where we can make legos. since it was so much fun visiting there, I still love to visit 레고랜 to this day. The reason I love legos is because I can make every single 레고. And I see everything It literally means everything. Because I can make statue, house and even buildings. Even though, there are so hard times making legos since it needs patience and time. When I finish making legos, I feel a sense of accomplishment and feel proud of myself. I plan to keep playing with legos in the future. Thank you!"
el269_8,81.08167894832317,76.93,77.11315789473684,78.37494561435334,77.83113898788639,76.93,81.19117647058823,78.65077181949154,"Hello everyone! It's not for being sweet, it is made from 코코 Beans and loved by all ages. Guess what it is? It's a 초콜릿. When you enjoy a piece of 초콜릿, you're not just tasting something yummy. It's like giving your body super zero power. 초콜릿 has special stuff called 엔지 오시덴. That hope gives you strong and healthy. That's not all. 초콜릿 is painful too. It can actually help you sing faster and remember things better. So, if you're stuck in a chicken mask problem, a little bit of dark 초콜릿 might just help you figure it out. And here's something fun. When you think of fight, it's like a little party in your mouth. Chocolate has ingredients that make you feel happy. The tunnel is like a tiny happiness messenger that makes you feel calm and good, almost like getting a big help. The Dwarfs are like little superheroes that cheer you up and make you feel even better. So, go ahead, read some chocolate and remember you're having super power. Thanks for listening and have a sweet day."
el400_42,0.0,100.0,0.0,33.333333333333336,0.0,100.0,0.0,33.333333333333336,
